run_id,traffic_seed,flight_id,start_x,start_y,start_z,goal_x,goal_y,goal_z,etd,speed
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,0,53,21,0,1,23,0,580.7605940674983,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,1,12,18,0,59,42,0,424.1426938042891,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,2,43,53,0,1,11,0,1646.1411447237006,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,3,4,16,0,42,49,0,1222.4604273608045,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,4,0,0,0,55,22,0,666.9960427924077,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,5,44,17,0,3,57,0,1282.2720393661195,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,6,13,9,0,45,52,0,1581.847600589875,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,7,57,21,0,8,36,0,776.0298766791017,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,8,43,0,0,30,56,0,552.930237541669,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,9,48,56,0,20,4,0,406.3613043111835,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,10,24,53,0,1,3,0,1156.4516576308426,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,11,3,1,0,29,46,0,1245.6110852945485,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,12,16,1,0,53,36,0,198.5455707441503,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,13,28,4,0,11,55,0,11.022918201343224,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,14,9,48,0,55,30,0,1563.1606416412792,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,15,49,7,0,57,58,0,1195.497780045538,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,16,15,1,0,55,35,0,806.9225498429283,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,17,58,52,0,6,17,0,667.7864195001135,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,18,4,39,0,54,25,0,860.9068371736877,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,19,58,10,0,6,9,0,1713.5801545278157,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,20,45,31,0,2,3,0,1145.7688121920485,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,21,54,57,0,11,12,0,80.67939491525047,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,22,52,45,0,12,17,0,1558.3490280424833,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,23,12,8,0,22,55,0,669.4732075770117,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,24,31,52,0,1,13,0,789.2012882018686,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,25,32,4,0,3,54,0,896.5995527870365,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,26,4,52,0,39,10,0,79.30207052242744,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,27,15,1,0,7,58,0,1274.1727603157433,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,28,13,48,0,36,3,0,718.3811302527946,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,29,32,14,0,57,57,0,225.48456860995728,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,30,12,43,0,45,0,0,443.43352518158696,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,31,15,58,0,32,0,0,1093.695046245015,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,32,55,30,0,0,38,0,1328.1863309498478,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,33,14,56,0,56,17,0,1510.0138360978276,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,34,59,10,0,40,59,0,1.452324496123092,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,35,55,54,0,5,50,0,1136.1465634516424,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,36,4,37,0,53,7,0,946.748815949833,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,37,54,26,0,8,58,0,583.3281892315466,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,38,59,54,0,31,4,0,739.2506337677413,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,39,36,47,0,12,4,0,1294.939486232899,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,40,6,5,0,28,54,0,649.0204329278044,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,41,35,38,0,1,4,0,1621.0707994126785,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,42,58,25,0,2,1,0,854.8405519281279,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,43,59,44,0,9,55,0,584.0032859459623,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,44,3,54,0,59,31,0,1265.755043191859,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,45,42,55,0,8,12,0,1356.8188107732046,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,46,1,6,0,41,50,0,194.8093948484532,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,47,22,1,0,57,42,0,416.09942304790343,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,48,4,5,0,53,38,0,665.7823398252567,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,49,21,5,0,1,57,0,1077.8960201722473,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,50,53,53,0,16,4,0,1751.0687890844267,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,84,51,4,56,0,59,39,0,559.2888495193114,10.0
