run_id,traffic_seed,flight_id,start_x,start_y,start_z,goal_x,goal_y,goal_z,etd,speed
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,0,57,29,0,12,10,0,81.40782904591366,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,1,1,47,0,48,12,0,1636.165365798633,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,2,13,43,0,52,9,0,1458.8450112053142,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,3,1,16,0,53,40,0,969.4614665217125,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,4,44,13,0,3,41,0,723.5267396124394,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,5,5,9,0,39,56,0,767.5257978494698,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,6,19,58,0,40,2,0,1437.358996034845,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,7,26,59,0,6,0,0,831.467345888862,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,8,47,48,0,20,7,0,1559.7283780162334,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,9,4,4,0,2,58,0,511.5340200592517,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,10,27,49,0,59,3,0,772.8102688258391,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,11,4,11,0,9,59,0,1672.1704365049304,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,12,33,13,0,50,59,0,656.2771962785903,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,13,6,45,0,56,18,0,684.872908171761,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,14,4,47,0,59,42,0,1698.0733460018937,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,15,13,23,0,50,57,0,1452.0609080418062,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,16,42,9,0,19,55,0,341.63397861957185,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,17,21,48,0,54,12,0,329.5931720591263,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,18,19,56,0,35,2,0,997.8172901866219,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,19,56,9,0,15,42,0,335.6294475690436,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,20,49,5,0,5,27,0,814.0789703235374,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,21,51,9,0,15,41,0,1198.450759470114,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,22,15,55,0,30,6,0,246.57258653594985,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,23,46,18,0,15,55,0,1526.1622985006181,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,24,57,37,0,4,31,0,235.12726653114814,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,25,47,12,0,7,46,0,1045.4046678137995,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,26,34,59,0,14,3,0,1708.2783837623579,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,27,20,36,0,58,0,0,439.5223693085604,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,28,59,8,0,8,12,0,1176.8630580155084,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,12,29,36,11,0,2,59,0,678.8031562321397,10.0
