run_id,traffic_seed,flight_id,start_x,start_y,start_z,goal_x,goal_y,goal_z,etd,speed
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,0,57,3,0,46,54,0,1575.1710803879173,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,1,3,40,0,51,55,0,97.61479168034748,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,2,33,50,0,12,2,0,463.0792674892557,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,3,7,8,0,22,55,0,886.2711788887584,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,4,56,59,0,58,8,0,1432.7879428864164,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,5,39,8,0,13,52,0,1039.818679094942,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,6,59,5,0,18,32,0,1194.4744484614648,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,7,20,1,0,4,52,0,835.9089759124314,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,8,42,46,0,4,5,0,1016.6584949738282,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,9,3,35,0,57,36,0,1164.4208660287045,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,10,10,7,0,41,55,0,180.39118123919758,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,11,57,55,0,17,17,0,799.5178398467891,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,12,8,19,0,58,6,0,1169.337160388347,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,13,47,59,0,5,15,0,353.18224800972956,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,14,0,55,0,0,3,0,1143.165988920022,10.0
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,383,15,28,5,0,23,56,0,1514.536091180752,10.0
