run_id,hotspot_id,x_cell,y_cell
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,29.545139976306935,25.15751920212853
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,30.866577914537903,26.508915209971494
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,2,51.34870563526861,6.072030205151407
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,3,49.27179617155736,20.62313761119437
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,4,0.5,27.46503341712774
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,5,38.1878878354774,13.422729228152942
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,6,31.23267809476601,58.391885019427775
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,7,31.448708721688103,21.66081550582082
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,8,39.952833962301,53.51408356460272
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,9,39.57497696267488,29.65631057654831
