generation,evaluation_id,conflict_index,actor_flight,strategy,pairs_before,pairs_after,points_before,points_after,accepted,rollback_reason
1,31236:1,25;33,23,speed,60,58,69,67,True,
1,31236:1,34,24,schedule,58,57,67,66,True,
1,31236:1,35,24,reroute,57,58,66,67,False,pairs_increased
1,31236:1,8;32,26,schedule,57,59,66,75,False,pairs_increased
1,31236:1,18,27,schedule,57,56,66,65,True,
1,31236:1,29;41,29,speed,56,55,65,64,True,
1,31236:1,19,30,speed,55,55,64,64,False,same_pairs_points_not_decreased
1,31236:2,25;33,23,speed,60,59,69,68,True,
1,31236:2,34,24,schedule,59,59,68,69,False,same_pairs_points_not_decreased
1,31236:2,35,24,reroute,59,60,68,69,False,pairs_increased
1,31236:2,8;32,26,schedule,59,57,68,66,True,
1,31236:2,18,27,reroute,57,56,66,65,True,
1,31236:2,29;41,29,speed,56,55,65,64,True,
1,31236:2,19,30,schedule,55,56,64,77,False,pairs_increased
1,31236:2,17,32,reroute,55,54,64,63,True,
1,31236:2,48,33,speed,54,54,63,63,False,same_pairs_points_not_decreased
1,31236:2,43,35,schedule,54,53,63,62,True,
1,31236:2,4,40,reroute,53,53,62,63,False,same_pairs_points_not_decreased
1,31236:2,57;60,44,reroute,53,52,62,61,True,
1,31236:2,50,47,schedule,52,51,61,60,True,
1,31236:2,53,48,speed,51,51,60,60,False,same_pairs_points_not_decreased
1,31236:2,22,49,speed,51,50,60,59,True,
1,31236:2,5;7,53,speed,50,50,59,59,False,same_pairs_points_not_decreased
1,31236:2,6,53,reroute,50,50,59,57,True,
1,31236:2,11,54,reroute,50,50,57,57,False,same_pairs_points_not_decreased
1,31236:2,46,56,schedule,50,49,57,55,True,
1,31236:2,20;45,56,reroute,49,48,55,54,True,
1,31236:2,23,57,reroute,48,47,54,53,True,
1,31236:2,21,63,speed,47,47,53,53,False,same_pairs_points_not_decreased
1,31236:2,52,63,reroute,47,47,53,54,False,same_pairs_points_not_decreased
1,31236:2,54,64,schedule,47,44,53,50,True,
1,31236:2,0,64,reroute,44,44,50,50,False,same_pairs_points_not_decreased
1,31236:2,62,65,speed,44,44,50,50,False,same_pairs_points_not_decreased
1,31236:2,36;47;59,65,reroute,44,42,50,48,True,
1,31236:2,49,66,schedule,42,41,48,47,True,
1,31236:2,38,67,reroute,41,41,47,47,False,same_pairs_points_not_decreased
1,31236:2,64,69,schedule,41,40,47,46,True,
1,31236:2,40,73,schedule,40,39,46,44,True,
1,31236:2,31;39,73,speed,39,39,44,44,False,same_pairs_points_not_decreased
1,31236:2,27,75,schedule,39,39,44,44,False,same_pairs_points_not_decreased
1,31236:2,37,80,schedule,39,38,44,43,True,
1,31236:2,44,80,speed,38,38,43,43,False,same_pairs_points_not_decreased
1,31236:2,30,81,schedule,38,36,43,41,True,
1,31236:2,42,81,speed,36,36,41,41,False,same_pairs_points_not_decreased
1,31236:2,24;63,82,reroute,36,35,41,40,True,
1,31236:2,28,84,speed,35,36,40,41,False,pairs_increased
1,31236:2,12;13;15,85,schedule,35,33,40,35,True,
1,31236:2,3;14,85,reroute,33,33,35,35,False,same_pairs_points_not_decreased
1,31236:2,26,86,speed,33,32,35,34,True,
1,31236:2,65,88,schedule,32,31,34,33,True,
1,31236:2,10;51,89,reroute,31,30,33,32,True,
1,31236:2,61,92,schedule,30,29,32,31,True,
1,31236:2,16,92,speed,29,29,31,31,False,same_pairs_points_not_decreased
1,31236:3,33,23,schedule,60,58,69,67,True,
1,31236:3,25,23,speed,58,58,67,67,False,same_pairs_points_not_decreased
1,31236:3,35,24,schedule,58,58,67,68,False,same_pairs_points_not_decreased
1,31236:3,34,24,reroute,58,58,67,67,False,same_pairs_points_not_decreased
1,31236:3,8;32,26,schedule,58,61,67,71,False,pairs_increased
1,31236:3,18,27,reroute,58,57,67,66,True,
1,31236:3,29;41,29,schedule,57,55,66,95,True,
1,31236:3,19,30,speed,55,55,95,95,False,same_pairs_points_not_decreased
1,31236:3,17,32,speed,55,54,95,94,True,
1,31236:3,48,33,speed,54,54,94,94,False,same_pairs_points_not_decreased
1,31236:3,43,35,schedule,54,55,94,95,False,pairs_increased
1,31236:3,4,40,speed,54,54,94,94,False,same_pairs_points_not_decreased
1,31236:3,57,44,speed,54,54,94,94,False,same_pairs_points_not_decreased
1,31236:3,60,44,reroute,54,53,94,93,True,
1,31236:3,50,47,schedule,53,52,93,92,True,
1,31236:3,53,48,schedule,52,54,92,94,False,pairs_increased
1,31236:3,22,49,reroute,52,52,92,92,False,same_pairs_points_not_decreased
1,31236:3,5;6,53,speed,52,52,92,92,False,same_pairs_points_not_decreased
1,31236:3,7,53,reroute,52,50,92,88,True,
1,31236:3,11,54,speed,50,50,88,88,False,same_pairs_points_not_decreased
1,31236:3,45,56,schedule,50,49,88,86,True,
1,31236:3,20;46,56,speed,49,49,86,86,False,same_pairs_points_not_decreased
1,31236:3,23,57,speed,49,48,86,85,True,
1,31236:3,21;52,63,schedule,48,46,85,83,True,
1,31236:3,0;54,64,speed,46,47,83,84,False,pairs_increased
1,31236:3,47;62,65,schedule,46,44,83,91,True,
1,31236:3,59,65,speed,44,44,91,91,False,same_pairs_points_not_decreased
1,31236:3,36,65,reroute,44,46,91,84,False,pairs_increased
1,31236:3,49,66,speed,44,45,91,92,False,pairs_increased
1,31236:3,38,67,schedule,44,43,91,90,True,
1,31236:3,64,69,speed,43,43,90,90,False,same_pairs_points_not_decreased
1,31236:3,40,73,schedule,43,45,90,101,False,pairs_increased
1,31236:3,31,73,speed,43,44,90,100,False,pairs_increased
1,31236:3,39,73,reroute,43,43,90,90,False,same_pairs_points_not_decreased
1,31236:3,27,75,speed,43,43,90,90,False,same_pairs_points_not_decreased
1,31236:3,37;44,80,speed,43,43,90,90,False,same_pairs_points_not_decreased
1,31236:3,42,81,schedule,43,41,90,88,True,
1,31236:3,30,81,speed,41,41,88,88,False,same_pairs_points_not_decreased
1,31236:3,24;63,82,reroute,41,39,88,86,True,
1,31236:3,28,84,speed,39,38,86,85,True,
1,31236:3,13,85,schedule,38,36,85,80,True,
1,31236:3,12,85,speed,36,36,80,80,False,same_pairs_points_not_decreased
1,31236:3,3;14;15,85,reroute,36,36,80,80,False,same_pairs_points_not_decreased
1,31236:3,26,86,reroute,36,35,80,79,True,
1,31236:3,65,88,schedule,35,34,79,78,True,
1,31236:3,51,89,speed,34,34,78,78,False,same_pairs_points_not_decreased
1,31236:3,10,89,reroute,34,33,78,77,True,
1,31236:3,9;16,92,schedule,33,32,77,76,True,
1,31236:3,61,92,speed,32,32,76,76,False,same_pairs_points_not_decreased
1,31236:4,33,23,schedule,60,58,69,67,True,
1,31236:4,25,23,speed,58,58,67,67,False,same_pairs_points_not_decreased
1,31236:4,35,24,speed,58,59,67,68,False,pairs_increased
1,31236:4,34,24,reroute,58,58,67,67,False,same_pairs_points_not_decreased
1,31236:4,8,26,schedule,58,58,67,69,False,same_pairs_points_not_decreased
1,31236:4,32,26,speed,58,58,67,67,False,same_pairs_points_not_decreased
1,31236:4,18,27,reroute,58,57,67,66,True,
1,31236:4,29;41,29,speed,57,56,66,65,True,
1,31236:4,19,30,reroute,56,55,65,64,True,
1,31236:4,52,31,reroute,55,54,64,63,True,
1,31236:4,17,32,reroute,54,55,63,64,False,pairs_increased
1,31236:4,48;53,33,schedule,54,52,63,61,True,
1,31236:4,43,35,reroute,52,51,61,60,True,
1,31236:4,55,36,schedule,51,49,60,58,True,
1,31236:4,56,36,speed,49,49,58,58,False,same_pairs_points_not_decreased
1,31236:4,57,37,schedule,49,48,58,57,True,
1,31236:4,4;59,40,reroute,48,48,57,57,False,same_pairs_points_not_decreased
1,31236:4,60,43,schedule,48,47,57,56,True,
1,31236:4,50,47,schedule,47,46,56,55,True,
1,31236:4,22,49,speed,46,46,55,55,False,same_pairs_points_not_decreased
1,31236:5,48,22,reroute,60,59,69,68,True,
1,31236:5,33,23,schedule,59,57,68,66,True,
